analysis_set,archive_batch,action_bin,ce_k,ce_n,ce_rate,comparison_k,comparison_n,comparison_rate,gap,comparison_weight
primary_frontloaded,all,1-2,43,342,0.12573099415204678,54,489,0.11042944785276074,0.01530154629928604,0.32951482479784366
primary_frontloaded,all,3-5,73,249,0.2931726907630522,81,305,0.26557377049180325,0.02759892027124894,0.2055256064690027
primary_frontloaded,all,6-10,120,256,0.46875,79,274,0.28832116788321166,0.18042883211678834,0.18463611859838275
primary_frontloaded,all,11+,457,637,0.717425431711146,264,416,0.6346153846153846,0.08281004709576145,0.2803234501347709
unrestricted,all,1-2,58,522,0.1111111111111111,95,736,0.12907608695652173,-0.017964975845410625,0.327693677649154
unrestricted,all,3-5,93,370,0.25135135135135134,115,468,0.24572649572649571,0.005624855624855624,0.20837043633125557
unrestricted,all,6-10,193,403,0.47890818858560796,122,412,0.2961165048543689,0.18279168373123905,0.1834372217275156
unrestricted,all,11+,638,951,0.6708727655099895,400,630,0.6349206349206349,0.03595213058935465,0.2804986642920748
primary_frontloaded,subsequent_capture_ST04_ST13,1-2,3,58,0.05172413793103448,19,101,0.18811881188118812,-0.13639467395015364,0.3300653594771242
primary_frontloaded,subsequent_capture_ST04_ST13,3-5,8,60,0.13333333333333333,16,55,0.2909090909090909,-0.15757575757575756,0.17973856209150327
primary_frontloaded,subsequent_capture_ST04_ST13,6+,113,188,0.601063829787234,74,150,0.49333333333333335,0.1077304964539007,0.49019607843137253
