analysis_set,archive_group,rows_per_condition,contributing_stations,metric,metric_label,effect_scale,ce_value,comparison_value,effect
unrestricted,initial_capture_ST00_ST02,1725,3,verification_successful,Completed-successful verification call,risk_difference,0.44405797101449274,0.30782608695652175,0.136231884057971
unrestricted,initial_capture_ST00_ST02,1725,3,audit_signal,Audit-stage prompt signal,risk_difference,0.432463768115942,0.15072463768115943,0.2817391304347826
unrestricted,initial_capture_ST00_ST02,1725,3,remediation_signal,Remediation-stage prompt signal,risk_difference,0.2863768115942029,0.08753623188405797,0.19884057971014496
unrestricted,initial_capture_ST00_ST02,1725,3,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.13971014492753622,0.01391304347826087,0.12579710144927536
unrestricted,initial_capture_ST00_ST02,1725,3,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.5002898550724638,0.05391304347826087,0.44637681159420295
unrestricted,initial_capture_ST00_ST02,1725,3,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.4144927536231884,0.10666666666666667,0.3078260869565217
unrestricted,initial_capture_ST00_ST02,1725,3,duration_min,Median observed trajectory minutes,ratio_of_condition_medians,5.6964,3.0435333333333334,1.8716404179352943
unrestricted,initial_capture_ST00_ST02,1725,3,completed_substantive_actions,Median completed substantive actions,ratio_of_condition_medians,9.0,5.0,1.8
unrestricted,initial_capture_ST00_ST02,1725,3,min_per_action,Median minutes per completed substantive action,ratio_of_condition_medians,0.5376011111111112,0.5611944444444444,0.9579587190021286
unrestricted,subsequent_capture_ST04_ST13,521,9,verification_successful,Completed-successful verification call,risk_difference,0.4145873320537428,0.3857965451055662,0.028790786948176605
unrestricted,subsequent_capture_ST04_ST13,521,9,audit_signal,Audit-stage prompt signal,risk_difference,0.2783109404990403,0.05182341650671785,0.22648752399232247
unrestricted,subsequent_capture_ST04_ST13,521,9,remediation_signal,Remediation-stage prompt signal,risk_difference,0.2533589251439539,0.1017274472168906,0.15163147792706333
unrestricted,subsequent_capture_ST04_ST13,521,9,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.1017274472168906,0.03262955854126679,0.0690978886756238
unrestricted,subsequent_capture_ST04_ST13,521,9,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.44529750479846447,0.06525911708253358,0.3800383877159309
unrestricted,subsequent_capture_ST04_ST13,521,9,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.39539347408829173,0.044145873320537425,0.3512476007677543
unrestricted,subsequent_capture_ST04_ST13,521,9,duration_min,Median observed trajectory minutes,ratio_of_condition_medians,6.266,4.114833333333333,1.5227834258171655
unrestricted,subsequent_capture_ST04_ST13,521,9,completed_substantive_actions,Median completed substantive actions,ratio_of_condition_medians,6.0,5.0,1.2
unrestricted,subsequent_capture_ST04_ST13,521,9,min_per_action,Median minutes per completed substantive action,ratio_of_condition_medians,0.8722884615384616,0.7624435483870967,1.1440695686700153
primary_frontloaded,initial_capture_ST00_ST02,1178,3,verification_successful,Completed-successful verification call,risk_difference,0.4830220713073005,0.3132427843803056,0.1697792869269949
primary_frontloaded,initial_capture_ST00_ST02,1178,3,audit_signal,Audit-stage prompt signal,risk_difference,0.5764006791171478,0.14855687606112053,0.4278438030560272
primary_frontloaded,initial_capture_ST00_ST02,1178,3,remediation_signal,Remediation-stage prompt signal,risk_difference,0.38115449915110355,0.08743633276740238,0.2937181663837012
primary_frontloaded,initial_capture_ST00_ST02,1178,3,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.20458404074702885,0.016129032258064516,0.18845500848896435
primary_frontloaded,initial_capture_ST00_ST02,1178,3,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.7096774193548387,0.05263157894736842,0.6570458404074704
primary_frontloaded,initial_capture_ST00_ST02,1178,3,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.5169779286926995,0.0967741935483871,0.4202037351443124
primary_frontloaded,initial_capture_ST00_ST02,1178,3,duration_min,Median observed trajectory minutes,ratio_of_condition_medians,4.909891666666667,2.965666666666667,1.6555777228279194
primary_frontloaded,initial_capture_ST00_ST02,1178,3,completed_substantive_actions,Median completed substantive actions,ratio_of_condition_medians,8.5,5.0,1.7
