analysis_set,station_id,balanced_per_condition,metric,metric_label,effect_scale,ce_value,comparison_value,effect
unrestricted,ST00,588,verification_successful,Completed-successful verification call,risk_difference,0.38945578231292516,0.3129251700680272,0.07653061224489793
unrestricted,ST00,588,audit_signal,Audit-stage prompt signal,risk_difference,0.3282312925170068,0.1564625850340136,0.17176870748299317
unrestricted,ST00,588,remediation_signal,Remediation-stage prompt signal,risk_difference,0.1564625850340136,0.07653061224489796,0.07993197278911565
unrestricted,ST00,588,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.09863945578231292,0.01870748299319728,0.07993197278911565
unrestricted,ST00,588,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.3401360544217687,0.03571428571428571,0.304421768707483
unrestricted,ST00,588,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.36394557823129253,0.1054421768707483,0.2585034013605442
unrestricted,ST00,588,duration_min,Median observed trajectory minutes,median_ratio,4.459200000000001,2.2152083333333334,2.012993510768363
unrestricted,ST00,588,completed_substantive_actions,Median completed substantive actions,median_ratio,7.0,4.0,1.75
unrestricted,ST00,588,min_per_action,Median minutes per completed substantive action,median_ratio,0.51101125,0.46072129629629627,1.1091548276756054
unrestricted,ST01,667,verification_successful,Completed-successful verification call,risk_difference,0.4617691154422789,0.3103448275862069,0.15142428785607198
unrestricted,ST01,667,audit_signal,Audit-stage prompt signal,risk_difference,0.5067466266866567,0.14992503748125938,0.3568215892053973
unrestricted,ST01,667,remediation_signal,Remediation-stage prompt signal,risk_difference,0.30884557721139433,0.10344827586206896,0.20539730134932538
unrestricted,ST01,667,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,0.1664167916041979,0.014992503748125937,0.15142428785607195
unrestricted,ST01,667,multistage_signal,At least two distinct stage prompt signals,risk_difference,0.5952023988005997,0.06146926536731634,0.5337331334332833
unrestricted,ST01,667,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,0.44377811094452774,0.10644677661169415,0.3373313343328336
unrestricted,ST01,667,duration_min,Median observed trajectory minutes,median_ratio,4.762383333333333,2.9383,1.620795471304269
unrestricted,ST01,667,completed_substantive_actions,Median completed substantive actions,median_ratio,9.0,5.0,1.8
