record_id,view,analysis_set,subgroup_type,subgroup_value,metric,metric_label,effect_scale,ce_k,ce_n,ce_value,comparison_k,comparison_n,comparison_value,effect,ci_low,ci_high,rows_per_condition,stations,positive_stations,tie_stations,negative_stations,descriptive_sign_p,window,candidate_positive,eligible_rows,unresolved,source_file,source_record
AGG-903f82a499bc,pooled,unrestricted,overall,all,verification_successful,Completed-successful verification call,risk_difference,,,0.43722172751558325,,,0.3259127337488869,0.11130899376669634,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=2
AGG-41543b438714,pooled,unrestricted,overall,all,audit_signal,Audit-stage prompt signal,risk_difference,,,0.3967052537845058,,,0.12778272484416742,0.26892252894033836,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=3
AGG-21222b0bf578,pooled,unrestricted,overall,all,remediation_signal,Remediation-stage prompt signal,risk_difference,,,0.27871772039180764,,,0.09082813891362422,0.1878895814781834,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=4
AGG-13df25b75a10,pooled,unrestricted,overall,all,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,,,0.13089937666963491,,,0.0182546749777382,0.11264470169189672,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=5
AGG-6c89754dbfab,pooled,unrestricted,overall,all,multistage_signal,At least two distinct stage prompt signals,risk_difference,,,0.48753339269813,,,0.05654496883348174,0.43098842386464825,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=6
AGG-8ba5e1d13e9e,pooled,unrestricted,overall,all,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,,,0.41006233303650935,,,0.09216384683882457,0.3178984861976848,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=7
AGG-8c1b2da17e3c,pooled,unrestricted,overall,all,duration_min,Median observed trajectory minutes,ratio_of_condition_medians,,,5.849325,,,3.3421166666666666,1.7501857605210271,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=8
AGG-22a375022e79,pooled,unrestricted,overall,all,completed_substantive_actions,Median completed substantive actions,ratio_of_condition_medians,,,8.0,,,5.0,1.6,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=9
AGG-40e579a77e27,pooled,unrestricted,overall,all,min_per_action,Median minutes per completed substantive action,ratio_of_condition_medians,,,0.5840323717948718,,,0.5967416620702335,0.9787021904398794,,,2246,,,,,,,,,,analysis/results/pooled_summary.csv,row=10
AGG-3e3d72dcbb0e,pooled,primary_frontloaded,overall,all,verification_successful,Completed-successful verification call,risk_difference,,,0.4669811320754717,,,0.3221024258760108,0.14487870619946092,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=11
AGG-f9066687c51c,pooled,primary_frontloaded,overall,all,audit_signal,Audit-stage prompt signal,risk_difference,,,0.5336927223719676,,,0.13274932614555257,0.40094339622641506,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=12
AGG-964f8271a387,pooled,primary_frontloaded,overall,all,remediation_signal,Remediation-stage prompt signal,risk_difference,,,0.38544474393531,,,0.0862533692722372,0.2991913746630728,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=13
AGG-45e0e5cf06b0,pooled,primary_frontloaded,overall,all,packaging_release_signal,Packaging/release-stage prompt signal,risk_difference,,,0.19609164420485176,,,0.01752021563342318,0.17857142857142858,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=14
AGG-f478055b7eaf,pooled,primary_frontloaded,overall,all,multistage_signal,At least two distinct stage prompt signals,risk_difference,,,0.7014824797843666,,,0.05592991913746631,0.6455525606469004,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=15
AGG-8fc09ad14c47,pooled,primary_frontloaded,overall,all,grounded_decision_trace,Grounded-decision trace proxy,risk_difference,,,0.5215633423180593,,,0.08827493261455525,0.4332884097035041,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=16
AGG-d7ffbc34f65f,pooled,primary_frontloaded,overall,all,duration_min,Median observed trajectory minutes,ratio_of_condition_medians,,,5.577216666666667,,,3.2447083333333335,1.7188653320149474,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=17
AGG-5f407af43ead,pooled,primary_frontloaded,overall,all,completed_substantive_actions,Median completed substantive actions,ratio_of_condition_medians,,,8.0,,,5.0,1.6,,,1484,,,,,,,,,,analysis/results/pooled_summary.csv,row=18
